opportunity_space,mat26_inr_cr,value_cagr_2yr,real_cagr_2yr,volume_cagr_2yr,hhi,top3_share,top1_company,n_competitors,cipla_mat26_inr_cr,cipla_share_26,cipla_rank,cipla_cagr_2yr,future_potential_score,market_attractiveness,competitive_whitespace,cipla_rtw,priority_score
ARB-CCB combination AHT,3748.1,0.1576,0.1588,0.0868,683.0,0.367,GLENMARK PHARMA,153,58.1,0.0155,18.0,0.0464,78,53.59251968503937,100.0,28.79852022958402,62.777385962907815
Statin-Ezetimibe combo therapy,333.4,0.6075,0.6126,0.4653,1380.0,0.524,LUPIN LIMITED,39,1.0,0.003,21.0,61.6197,88,28.70660545685384,82.4167507568113,43.35664335664336,57.93449262757925
Fibrate-based lipid regulation,1002.1,0.1479,0.1445,0.0702,1319.0,0.529,SUN*,108,66.2,0.066,5.0,0.1232,48,15.297716836895141,83.9556004036327,76.46595687572695,52.496924350726815
Next-gen non-statin lipid lowering,117.5,1.1006,1.0879,0.4613,1948.0,0.643,NOVARTIS INTL.*,23,0.0,0.0,,,72,50.0,68.087790110999,0.0,46.6175580221998
Legacy AHT monotherapy (ACEi/Alfa-blockers/old CCBs),419.4,0.0846,0.0821,0.0007,4647.0,0.915,TORRENT PHARMA*,35,5.4,0.0128,6.0,-0.1177,15,4.15771497824051,0.0,36.603729603729604,14.148246894404554
